# source            comp      RA             dec            Freq           Flux(Jy)       sig_flux       
G35.20-0.74         N         18:58:13.08    $+$01:40:42.6  4.999e+00      3.330e-03      4.662e-04      
G35.20-0.74         N         18:58:13.08    $+$01:40:42.6  6.999e+00      2.360e-03      3.304e-04      
G35.20-0.74         N         18:58:13.08    $+$01:40:42.6  2.000e+01      2.690e-03      3.766e-04      
G35.20-0.74         N         18:58:13.08    $+$01:40:42.6  2.400e+01      3.140e-03      4.396e-04      
G35.20-0.74         N         18:58:13.08    $+$01:40:42.6  4.200e+01      1.099e-03      1.539e-04      
G35.20-0.74         N         18:58:13.08    $+$01:40:42.6  4.600e+01      9.000e-05      1.260e-05      
G35.20-0.74         S         18:58:13.02    $+$01:40:30.9  4.999e+00      1.730e-03      2.422e-04      
G35.20-0.74         S         18:58:13.02    $+$01:40:30.9  6.999e+00      1.190e-03      1.666e-04      
G35.20-0.74         S         18:58:13.02    $+$01:40:30.9  2.000e+01      1.890e-03      2.646e-04      
G35.20-0.74         S         18:58:13.02    $+$01:40:30.9  2.400e+01      1.940e-03      2.716e-04      
G35.20-0.74         S         18:58:13.02    $+$01:40:30.9  4.200e+01      7.360e-04      1.030e-04      
G35.20-0.74         S         18:58:13.02    $+$01:40:30.9  4.600e+01      9.000e-05      1.260e-05      
G45.47+0.05         A         19:14:25.67    $+$11:09:25.9  4.860e+00      91.0e-03       3.5e-03  
G45.47+0.05         A         19:14:25.68    $+$11:09:25.6  4.199e+01      102.9e-03      4.6e-03          
G45.47+0.05         A         19:14:25.68    $+$11:09:25.7  4.599e+01      119.7e-03      5.2e-03  
#G45.47+0.05         A         19:14:25.68    $+$11:09:25.7  2.258e+02      2.312e-01      2.312e-02          
#IRAS_07299-1651     A         07:32:09.79    $-$16:58:10.9  8.640e+00      1.000e-03      1.400e-04      
IRAS_07299-1651     A         07:32:09.79    $-$16:58:12.2  5.029e+00      1.148e-03      3.000e-05      
IRAS_07299-1651     A         07:32:09.79    $-$16:58:12.2  6.979e+00      1.466e-03      7.500e-05  
IRAS_07299-1651     A         07:32:09.79    $-$16:58:12.2  233.95         85e-03         7.500e-05  
IRAS_07299-1651     A         07:32:09.79    $-$16:58:12.2  403.87         217e-03        7.500e-05  
IRAS_07299-1651     A         07:32:09.79    $-$16:58:12.2  92.9           25e-03         2.5100e-03      
IRAS_20126+4104     A         20:14:26.03    $+$41:13:32.5  4.900e+00      59.e-06        14.e-06      
IRAS_20126+4104     A         20:14:26.03    $+$41:13:32.5  7.400e+00      79.e-06        13.e-06      
IRAS_20126+4104     A         20:14:26.03    $+$41:13:32.5  2.090e+01      635.e-06       31.e-06      
IRAS_20126+4104     A         20:14:26.03    $+$41:13:32.5  2.550e+01      851.e-06       30.e-06      
IRAS_20126+4104     B         20:14:26.02    $+$41:13:31.7  4.900e+00      7.010e-05      9.814e-06      
IRAS_20126+4104     B         20:14:26.02    $+$41:13:31.7  7.400e+00      6.610e-05      9.254e-06      
IRAS_20126+4104     B         20:14:26.02    $+$41:13:31.7  2.090e+01      1.172e-04      1.641e-05      
IRAS_20126+4104     B         20:14:26.02    $+$41:13:31.7  2.550e+01      9.710e-05      1.359e-05      
IRAS_20126+4104     C         20:14:25.82    $+$41:13:35.9  4.900e+00      1.907e-04      2.670e-05      
IRAS_20126+4104     C         20:14:25.82    $+$41:13:35.9  7.400e+00      1.752e-04      2.453e-05      
IRAS_20126+4104     C         20:14:25.82    $+$41:13:35.9  2.090e+01      3.900e-05      5.460e-06      
IRAS_20126+4104     C         20:14:25.82    $+$41:13:35.9  2.550e+01      4.500e-05      6.300e-06      
IRAS_20126+4104     D         20:14:26.23    $+$41:13:28.0  4.900e+00      2.551e-04      3.571e-05      
IRAS_20126+4104     D         20:14:26.23    $+$41:13:28.0  7.400e+00      2.094e-04      2.932e-05      
IRAS_20126+4104     D         20:14:26.23    $+$41:13:28.0  2.090e+01      1.328e-04      1.859e-05      
IRAS_20126+4104     D         20:14:26.23    $+$41:13:28.0  2.550e+01      1.044e-04      1.462e-05      
#NGC_7538_IRS9       A         23:14:01.76    $+$61:27:19.8  5.299e+00      368.e-06       32.e-06      
#NGC_7538_IRS9       A         23:14:01.76    $+$61:27:19.8  6.299e+00      255.e-06       57.e-06      
NGC_7538_IRS9       A         23:14:01.76    $+$61:27:19.8  5.299e+00      416.e-06       13.e-06      
NGC_7538_IRS9       A         23:14:01.76    $+$61:27:19.8  6.299e+00      477.e-06       37.e-06      
NGC_7538_IRS9       A         23:14:01.76    $+$61:27:19.8  4.200e+01      2.50e-03       0.14e-03      
NGC_7538_IRS9       A         23:14:01.76    $+$61:27:19.8  4.600e+01      2.47e-03       0.15e-03      
NGC_7538_IRS9       B         23:14:01.85    $+$61:27:21.4  5.299e+00      1.610e-04      2.254e-05      
NGC_7538_IRS9       B         23:14:01.85    $+$61:27:21.4  6.299e+00      1.540e-04      2.156e-05      
NGC_7538_IRS9       B         23:14:01.85    $+$61:27:21.4  4.200e+01      1.800e-04      2.520e-05      
NGC_7538_IRS9       B         23:14:01.85    $+$61:27:21.4  4.600e+01      2.100e-04      2.940e-05      
