#source,    comp,   RA,         dec,            Freq,       Flux_inner(Jy),   sig_inner,   Flux_med, sig_med, flux_SOMA, sig_SOMA, S_~5.3 f
AFGL_4029,      A,  01:31.3,    $+$60:29:12.8,  5.30E+00,   1.42E-04,   2.00E-05, 3.1e-04, 
AFGL_437,       A,  07:24.5,    $+$58:30:42.8,  5.30E+00,   7.71E-04,   3.80E-05, 
Cepheus_A,      A,  56:18.0,    $+$62:01:49.5,  8.33E+00,   6.85E-03,   9.59E-04,
G35.20-0.74,    A,  58:13.0,    $+$01:40:35.9,  5.00E+00,   7.37E-04,   9.30E-05,
G45.47+0.05,    A,  14:25.7,    $+$11:09:25.9,  4.86E+00,   9.10E-02,   3.50E-03,
IRAS_07299-1651, A, 32:09.8,    $-$16:58:12.2,  5.03E+00,   1.15E-03,   3.00E-05,
IRAS_20126+4104, A, 14:26.0,    $+$41:13:32.5,  4.90E+00,   5.90E-05,   1.40E-05,
NGC_7538_IRS9,  A,  14:01.8,    $+$61:27:19.8,  5.30E+00,   4.16E-04,   1.30E-05,
