#source,comp,RA,dec,Freq,Flux(Jy),sig_flux,S_~5.3 f
AFGL_4029,A,01:31.3,$+$60:29:12.8,5.30E+00,3.10E-04,6.00E-05,
Cepheus_A,A,56:18.0,$+$62:01:49.5,8.33E+00,9.80E-03,1.00E-04,
G35.20-0.74,A,58:13.0,$+$01:40:35.9,5.00E+00,1.45E-02,1.45E-03,
